station;sample;station_name;size_code;taxon_name;species_code;density;biomass;added_by_user;notes;...11;area;location 
8;3;ОH8_3;;Macoma balthica;435;;"11,456";Аристов;"Alexeeva_onega25.pdf(11), Poloskin-2_01.jpg, (0.5)";сито 1;30;veiga
8;3;ОH8_3;;Alita virens;789;2;"0,025";Аристов;"Alexeeva_onega25.pdf(11), Poloskin-2_01.jpg, (0.5)";сито 1;30;veiga
8;3;ОH8_3;;Hydrobia ventrosa;376;72;"0,372";Аристов;"Alexeeva_onega25.pdf(11), Poloskin-2_01.jpg, (0.5), рассчетные значения, суммарно 339x3,462";сито 1;30;veiga
8;3;ОH8_3;;Hydrobia ulvae;375;407;"3,438";Аристов;"Alexeeva_onega25.pdf(11), Poloskin-2_01.jpg, (0.5), рассчетные значения, суммарно 339x3,463";сито 1 ;30;veiga
8;3;ОH8_3;;Hydrobia sp.;#N/A;51;"0,027";Манылова;"Alexeeva_onega25.pdf(11), Poloskin-2_01.jpg, (0.5)";сито 0.5;30;veiga
8;3;ОH8_3;;Tubifex costatus;828;3;"0,004";Аристов;"Alexeeva_onega25.pdf(11), Poloskin-2_01.jpg, (0.5)";сито 0.5;30;veiga
8;3;ОH8_3;;Nereis sp.;788;1;"0,001";Манылова;"Alexeeva_onega25.pdf(11), Poloskin-2_01.jpg, (0.5)";сито 0.5;30;veiga
8;3;ОH8_3;;Nephthys minuta;784;1;"0,001";Манылова;"Alexeeva_onega25.pdf(11), Poloskin-2_01.jpg, (0.5)";сито 0.5;30;veiga
8;2;ОH8_2;;Macoma balthica;435;24;"6,895";Аристов;"Alexeeva_onega25.pdf(12), Poloskin-2_01.jpg, (0.5)";сито 1;30;veiga
8;2;ОH8_2;;Mya arenaria;440;3;"1,199";Аристов;"Alexeeva_onega25.pdf(12), Poloskin-2_01.jpg, (0.5)";сито 1;30;veiga
8;2;ОH8_2;;Hydrobia ulvae;375;549;"1,266";Аристов;"Alexeeva_onega25.pdf(12), рассчетные значения, суммарно 470x1,087";сито 1;30;veiga
8;2;ОH8_2;;Hydrobia ventrosa;376;40;"0,065";Аристов;"Alexeeva_onega25.pdf(12), рассчетные значения, суммарно 470x1,087";сито 1;30;veiga
8;2;ОH8_2;;Tubifex costatus;828;2;"0,003";Манылова;"Alexeeva_onega25.pdf(12), Poloskin-2_01.jpg, (0.5)";сито 0.5;30;veiga
8;2;ОH8_2;;Nephthys minuta;784;1;"0,001";Манылова;"Alexeeva_onega25.pdf(12), Poloskin-2_01.jpg, (0.5)";сито 0.5;30;veiga
